"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Volkswagen","Jetta TDI","Automóviles","Compactos",148
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"01","Volkswagen","Jetta 4 PTAS","Automóviles","Compactos",5057
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Chrysler","PT Cruiser","Automóviles","Compactos",12168
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",3519
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",7600
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",4872
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",269
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","F 150","Camiones ligeros","Pick Ups",725
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","F 250","Camiones ligeros","Pick Ups",622
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","F 350","Camiones ligeros","Pick Ups",1092
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","F 450","Camiones ligeros","Pick Ups",271
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","F 550","Camiones ligeros","Pick Ups",47
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","Fiesta Ikon","Automóviles","Subcompactos",394
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","Fusion","Automóviles","Compactos",16731
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","H - 215","Camiones ligeros","Pick Ups",1098
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","LCF","Camiones ligeros","Pick Ups",290
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","Milan-","Automóviles","De Lujo",3666
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Ford Motor","MKZ-","Automóviles","De Lujo",3622
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",1354
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",2229
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",1423
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Chevy 5 Ptas","Automóviles","Subcompactos",1774
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Escalade ESV SUV AWD","Camiones ligeros","Minivans",991
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Escalade EXT UUV 4X4","Camiones ligeros","Minivans",158
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","HHR 5 PTAS","Automóviles","Compactos",10509
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Kodiak Chassis Cab Class 6 PBV23,900","Camiones ligeros","Pick Ups",20
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Kodiak Chassis Cab Class 7 PBV33,000","Camiones ligeros","Pick Ups",44
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Kodiak Chassis Cab Class 8 PBV36,000","Camiones ligeros","Pick Ups",64
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Rendezvous","Camiones ligeros","Minivans",4319
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Silverado 1500 Cabina Regular-","Camiones ligeros","Pick Ups",638
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Silverado 2500 Cabina Regular-","Camiones ligeros","Pick Ups",9556
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Silverado 3500 Chassis Cab","Camiones ligeros","Pick Ups",514
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Silverado 3500 HD Chassis Cab Heavy Duty","Camiones ligeros","Pick Ups",130
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","General Motors","Suburban SUV-","Camiones ligeros","SUV's",2980
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Honda","Accord 4PTS-","Automóviles","De Lujo",2090
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Chasis Largo","Camiones ligeros","Pick Ups",2731
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Estacas Largo","Camiones ligeros","Pick Ups",152
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Pickup Doble Cabina","Camiones ligeros","Pick Ups",1076
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Pickup King Cab STD","Camiones ligeros","Pick Ups",0
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Pickup Largo","Camiones ligeros","Pick Ups",599
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Platina 4 PTS","Automóviles","Subcompactos",5618
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Sentra 4 PTS","Automóviles","Compactos",15717
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2006,"02","Nissan","Tsubame","Automóviles","Compactos",0
