"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","UNI_VEH"
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"01","Volkswagen","Jetta 4 PTAS","Automóviles","Compactos",1439
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Chrysler","PT Cruiser","Automóviles","Compactos",12808
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Chrysler","RAM 1500-","Camiones ligeros","Pick Ups",480
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Chrysler","RAM 2500-","Camiones ligeros","Pick Ups",4826
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Chrysler","RAM 3500","Camiones ligeros","Pick Ups",6524
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Chrysler","RAM 4000","Camiones ligeros","Pick Ups",544
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","F 150","Camiones ligeros","Pick Ups",942
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","F 250","Camiones ligeros","Pick Ups",533
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","F 350","Camiones ligeros","Pick Ups",750
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","F 450","Camiones ligeros","Pick Ups",234
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","F 550","Camiones ligeros","Pick Ups",88
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","Fiesta Ikon","Automóviles","Subcompactos",720
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","Fusion","Automóviles","Compactos",14274
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","H - 215","Camiones ligeros","Pick Ups",622
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","LCF","Camiones ligeros","Pick Ups",163
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","Milan-","Automóviles","De Lujo",3392
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","Ford Motor","MKZ-","Automóviles","De Lujo",2534
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Avalanche UUV","Camiones ligeros","Pick Ups",4114
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Chevy 3 Ptas","Automóviles","Subcompactos",1711
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Chevy 4 PTAS","Automóviles","Subcompactos",1707
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Chevy 5 Ptas","Automóviles","Subcompactos",951
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","Escalade EXT UUV 4X4","Camiones ligeros","Minivans",796
"Registro administrativo de la industria automotriz de vehículos ligeros. Producción de vehículos ","Nacional",2007,"02","General Motors","HHR 5 PTAS","Automóviles","Compactos",5239
