Concepto,undefined 2003,undefined 2004,undefined 2005,undefined 2006,undefined 2007,undefined 2008,undefined 2009,undefined 2010,undefined 2011,undefined 2012,undefined 2013,undefined 2014,undefined 2015,undefined 2016,undefined 2017,undefined 2018 R,undefined 2019 R
Guanajuato,438354.387,450953.1550000001,454625.559,477646.929,488729.60399999993,503024.423,481674.90599999996,517168.681,548163.1699999999,570921.987,594575.5319999999,620084.8039999999,653849.9260000001,673328.2939999999,704179.453,713090.078,702632.8110000002
Guerrero,182713.98099999997,192557.837,195219.88900000002,199540.65000000002,204879.83,208284.821,201239.316,211890.53500000003,214478.174,218118.48099999997,218811.37799999997,227659.00499999998,229580.566,234185.03000000003,234094.18200000003,240685.982,240613.45199999993
Hidalgo,179553.37799999997,191549.57900000003,190073.77899999998,195404.535,201655.418,208800.33500000002,195581.12600000005,206303.584,214569.18800000002,222797.00499999998,230982.76700000005,243064.784,258695.052,268833.622,270118.073,276996.193,273154.93100000004
Jalisco,794957.3219999999,819238.3099999999,842128.813,886009.7259999999,913139.834,918573.456,870319.0999999999,925371.837,953148.0560000001,995285.9989999998,1018578.6070000002,1067256.7619999999,1104884.87,1149129.5480000002,1176616.034,1208076.0219999999,1217549.85
México,1048403.5900000001,1073840.8099999998,1099376.7940000002,1150701.9500000002,1184658.4279999998,1198144.3499999999,1138727.918,1226813.687,1283448.1970000002,1339994.611,1365154.2290000003,1402291.945,1445183.5050000001,1485467.443,1556925.971,1608137.236,1577636.5300000003
Michoacán de Ocampo,294468.30600000004,301021.642,306026.395,320451.426,328272.18999999994,334657.914,317003.042,329767.26,343275.664,352030.387,359465.98699999996,379655.442,386038.362,402111.981,414856.586,424359.973,424974.326
Morelos,158055.834,159734.875,171279.47100000002,168177.81,169325.362,169672.507,168348.348,174984.467,174678.088,175717.837,182126.14299999998,185662.448,187472.397,194412.07800000004,203238.504,201316.45400000003,201083.49999999997
Nayarit,76105.196,86879.42199999999,90269.847,92165.697,91675.276,98292.89000000001,93038.497,97786.13399999999,100704.16,100800.218,103627.459,108986.73199999999,114062.99899999998,119473.24300000002,121000.11400000002,120639.992,120945.60200000001
Nuevo León,803888.5280000002,849841.554,885438.787,946837.916,1004636.5210000002,1020366.7679999999,952725.7779999999,1025184.258,1069812.2680000002,1113817.766,1124999.8930000002,1161168.6690000002,1228082.513,1257648.4210000003,1306549.097,1353169.9910000002,1373592.856
Oaxaca,202963.936,210757.192,213677.21700000003,218023.575,219815.363,226633.78699999995,224510.70500000002,228089.144,234955.838,239680.17100000003,245515.97600000002,250239.106,260612.90700000006,256580.339,250518.62,260740.41700000002,252621.56999999995
