Concepto,undefined 2003,undefined 2004,undefined 2005,undefined 2006,undefined 2007,undefined 2008,undefined 2009,undefined 2010,undefined 2011,undefined 2012,undefined 2013,undefined 2014,undefined 2015,undefined 2016,undefined 2017,undefined 2018 R,undefined 2019 R
Baja California Sur,NA,7.230230153372,7.175901152931,7.160319033677,13.393540859726,2.61388418427,-0.584118302857,2.139204758302,3.661208931431,2.299819082862,-1.975518806876,0.868812022265,12.491593983739,2.626429771929,10.771256229299,16.730373240044,-8.193277905271
Campeche,NA,1.150317208696,-1.98452467615,-2.335352550282,-6.576569978902,-8.478949655571,-9.971231495721,-3.43113456305,-3.642689540101,-1.612763773136,0.88110128294,-4.868190287281,-7.052178990251,-5.801772525675,-10.444291254842,-1.564817742739,-2.272582362489
Coahuila de Zaragoza,NA,2.879323523238,2.165013348662,4.711658119948,4.160448321026,-0.429964788689,-15.451565089996,16.287635815759,6.787471263295,5.035231631179,-2.064375907551,3.903733416229,0.842478985977,1.474508893362,5.151378928011,1.066397679572,-0.648937214172
Colima,NA,0.090238234194,0.684602842218,6.263885974911,6.883116605593,1.841111611443,-3.175046210934,7.253764377627,7.260193771166,2.951072732767,0.974325363596,2.494805269157,2.320952383534,2.814142079169,3.51323911202,2.931808840287,4.315921685239
Chiapas,NA,-3.928425854304,0.798599640258,3.385532682786,1.659325556868,2.278320347952,-0.616178976266,5.567222513091,3.120880430529,1.89196837704,-1.337513965904,4.664547215729,-2.114529692998,-0.270163320701,-3.293486186488,-3.572547434696,-2.634526356852
Chihuahua,NA,4.504653974503,3.331404755178,7.816007538578,3.578944765637,1.413313730738,-9.009607271635,4.168065029375,2.305813678346,7.424886179088,3.729363410053,1.974283757933,5.136860206434,4.614307053715,3.236910797628,2.281129197109,1.544034532592
Ciudad de México,NA,4.408039255038,1.398408167754,5.165038649365,1.425133820857,1.73652452722,-3.586152404084,3.572207947714,3.551272356151,3.951672452886,1.485674259946,2.823935048846,4.411083382425,3.046933656998,2.986110572367,2.656990574623,0.228684646293
Durango,NA,3.099313027552,-1.687401059483,3.474922234172,1.447564548141,1.851877983357,-1.592622735039,3.792187085442,4.162999210175,3.759381668846,3.339703694466,2.071282071171,-0.04173113548,4.029725503908,-0.549011620905,1.359354770268,0.890925952001
Guanajuato,NA,2.87410560351,0.814364853486,5.063809005951,2.320265101087,2.924893209457,-4.244230702095,7.368823776757,5.993110205373,4.151832564745,4.143043277119,4.29033329276,5.445242615556,2.979027331113,4.581889588617,1.265391224075,-1.466472094147
Guerrero,NA,5.387576772245,1.382468790402,2.213279098832,2.675735495499,1.661945443824,-3.382630076533,5.292812165989,1.221215001416,1.69728552426,0.317670009814,4.043494941109,0.844052270192,2.005598331001,-0.038793256768,2.815875193344,-0.030134700574
Hidalgo,NA,6.681133562411,-0.77045327257,2.804572007798,3.198944691842,3.543131680202,-6.331028635563,5.482358251685,4.006524675791,3.834575260638,3.674089784107,5.230700608933,6.430494678324,3.919120184796,0.477786591738,2.546338319243,-1.386756243253
Jalisco,NA,3.054376295184,2.79412018708,5.210712698889,3.062055325565,0.595048184044,-5.25318423745,6.32558069793,3.001627874266,4.42092314355,2.340292943275,4.779027820285,3.525684665561,4.004460482838,2.391939711918,2.673768424951,0.784207932901
México,NA,2.426281275897,2.378004613179,4.668568254317,2.950935991722,1.138380623583,-4.959037865512,7.735453536145,4.616390459296,4.405819738745,1.877590983834,2.72040442106,3.058675488577,2.787461790189,4.810507853049,3.289254977686,-1.896648203723
Michoacán de Ocampo,NA,2.225480931723,1.662589097166,4.713655826975,2.440545856707,1.945252809871,-5.275498131504,4.026528552997,4.096344797844,2.550347699567,2.112204024024,5.616513308671,1.681240223075,4.163736193658,3.169416879424,2.290764404064,0.144771665351
Morelos,NA,1.062308778808,7.227348442224,-1.810877265029,0.682344478145,0.205016540878,-0.780420483797,3.941897309262,-0.175089255208,0.595237222885,3.646929708109,1.94167896039,0.974860032008,3.701708150666,4.540060520315,-0.945711546863,-0.115715330452
Nayarit,NA,14.157017610204,3.90244884456,2.10020296146,-0.532107949013,7.218537307704,-5.345649110532,5.10287370614,2.984089748348,0.095386327636,2.804796513436,5.171672693432,4.657692644642,4.743206865883,1.278002472906,-0.297621207201,0.253323955791
Nuevo León,NA,5.716343049991,4.188690566194,6.934316623743,6.10438217812,1.565764997708,-6.629085944516,7.605386741199,4.353169652356,4.113385059817,1.003945828604,3.215002616894,5.762629132736,2.407485465108,3.888262823176,3.568246620585,1.509260856791
Oaxaca,NA,3.839724511453,1.38549245807,2.034076473394,0.821832226171,3.101886923162,-0.936789711765,1.593883463151,3.010530829999,2.01073233175,2.434830122013,1.923756684575,4.145555491235,-1.547340093942,-2.362503309343,4.080254393865,-3.113766209862
Puebla,NA,2.526017090599,5.486798517761,4.442556953723,4.163072583205,0.676389516178,-7.759736454145,8.64332110536,4.975954099328,6.257754585992,-0.947973288272,1.33732240847,2.737255926978,2.720097616421,6.081511311408,2.506180511667,-1.246229636833
Querétaro,NA,7.454060164517,6.754167712825,6.221284356054,5.097259869075,2.476365219701,-2.887391073788,6.322993083703,7.467579106617,3.052834422656,0.532637755845,7.08670435821,5.764339277868,4.28480758831,4.54082312263,2.944731253039,-0.880954991107
Quintana Roo,NA,8.811143939162,4.294632553094,6.526606425506,10.632931394153,5.243006099254,-8.544456824866,5.104213324951,5.588053544446,4.68616434338,4.433174965831,3.542241544998,4.642665387034,7.135363509899,4.097218514413,5.261244697445,1.304658142689
San Luis Potosí,NA,5.878447612155,4.116794064326,4.614560789315,2.190681282186,2.159680824931,-5.250660584788,5.296647618368,5.376642713686,4.724578522213,3.56633815523,2.864558011984,3.991904832016,3.85769667428,3.687269792137,4.2751566503,-0.308277661202
Sinaloa,NA,6.118077354852,0.368811233191,3.235190266419,3.617826980109,3.520113767003,-4.208416909044,3.16397499655,1.953438388197,3.585347728236,1.182926070692,1.790062318581,5.519458739708,4.901815980108,1.208499723772,2.600429402364,2.074834066041
Sonora,NA,5.184363739985,5.305009248425,6.111405444324,1.34353249013,0.303135979403,-6.032031406944,5.148385143279,9.271859576597,5.178225519126,2.901570415851,2.465390667189,5.108056960569,5.338098941323,-0.511087247144,0.942268846343,-0.160509088979
Tabasco,NA,4.361696434096,7.626130253684,5.754227087805,1.969303308285,4.651989795444,4.364732451391,5.861094938311,4.712124277362,2.59256947304,-1.839634023324,2.016882972933,-0.457145775627,-4.896159289861,-4.731217554349,-8.27696866046,-4.095599931002
Tamaulipas,NA,4.734299574647,6.431947130948,3.005390619972,3.202463543677,4.168647488202,-9.022712169162,1.927458509322,1.908328990849,2.102331107374,1.473092078333,0.982565766684,3.075101539459,1.597909966564,-0.417342074595,2.031124196612,1.824656103489
Tlaxcala,NA,7.850108581927,-11.705627135754,-1.752469267537,1.450301652587,5.349582185162,-1.810592336352,8.649861333922,-3.128195660559,4.517939594363,-2.514448595569,3.085725187868,6.746272829627,0.415771032179,-1.315759221019,3.448620779025,4.997301874133
Veracruz de Ignacio de la Llave,NA,4.933144295765,0.783852233374,5.494008089593,3.075156441819,-0.18346545668,-2.176960041532,4.233373384487,3.992096203494,4.407059665808,0.208641593179,-0.073195709257,0.635331459777,-0.103827836431,-1.128412824241,2.312384831044,0.942931885578
Yucatán,NA,4.564099158868,4.670586943439,4.835810944806,3.102767316938,1.015363298492,-1.963756492507,3.582766926796,3.438118609861,5.819175396395,0.506583588992,3.740023604716,2.910655704135,5.265677681742,4.076536783076,3.523374696805,1.208211489294
Zacatecas,NA,4.199319549247,-0.003070089122,6.101494489366,3.413457057907,9.012313341859,3.266581859762,10.894446487679,0.101102351846,2.658639418851,-1.25722389447,6.774990543978,1.974958531733,-1.192769905854,-0.238563061814,0.00641284575,-3.729927543106
Contribución a la variación nacional,,,,,,,,,,,,,,,,,
a  B.1bP - Producto interno bruto,,,,,,,,,,,,,,,,,
"D.21-D.31 - Impuestos sobre los productos, netos",,,,,,,,,,,,,,,,,
a  B.1bV - Valor agregado bruto,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,NA,3.914148618823,2.276007941315,4.372745233304,2.319083803092,1.040322560114,-5.236564485925,5.15698619848,3.646748389272,3.732209661217,1.371443351502,2.713982346232,3.188216347399,2.431550296837,2.044799141471,2.143446839889,-0.177505588994
Aguascalientes,NA,0.04265043515,0.023553403385,0.063559872464,0.087523925996,0.004523958183,-0.053434465392,0.065584014282,0.046886107474,0.058964727968,0.033144491471,0.11291184711,0.048158978112,0.08113572879,0.029636838444,0.047236711217,-0.012654570449
Baja California,NA,0.187042585504,0.076644753253,0.172397433938,0.039924088672,-0.028234726614,-0.345840857584,0.149588069935,0.087359016059,0.103011693484,0.061565858366,0.080531548598,0.207489024819,0.145319512965,0.10466367932,0.073392036454,0.055013583584
Baja California Sur,NA,0.043780316605,0.044837953065,0.046884045525,0.090039900047,0.019474109718,-0.004419605336,0.016980481538,0.028227765481,0.017733981382,-0.015022941634,0.006388789155,0.090206520629,0.020676443066,0.084957528369,0.143244299404,-0.080168317434
Campeche,NA,0.095943961376,-0.161119868116,-0.181704602695,-0.478809989131,-0.563644117494,-0.600396280375,-0.196276116727,-0.191359868254,-0.078764124791,0.040813952773,-0.224411213432,-0.30109013463,-0.223122313248,-0.369377354071,-0.048568808964,-0.067975617941
Coahuila de Zaragoza,NA,0.100089646865,0.074509677944,0.161977356167,0.143492300295,-0.015096197011,-0.534614921626,0.502795551098,0.231705738858,0.177097675527,-0.073519671431,0.134313600997,0.029322466759,0.050153613594,0.17358074292,0.037027239413,-0.022294672655
Colima,NA,0.000486666838,0.003556287826,0.03203253739,0.03583696416,0.010013333219,-0.017405119497,0.040629072153,0.041475925455,0.017446595092,0.005716787166,0.014580754522,0.013535735625,0.016274067804,0.020392802825,0.017262746165,0.02560866187
Chiapas,NA,-0.077611715794,0.014586733796,0.06094480449,0.029587886424,0.040363397145,-0.011050162426,0.104706889473,0.058925703083,0.035541229429,-0.024679890129,0.083770443393,-0.038695916751,-0.004689924637,-0.055665573343,-0.057223405037,-0.039837165065
Chihuahua,NA,0.129276519293,0.096149396661,0.227909640965,0.107802507445,0.043095039628,-0.275736854104,0.12248366823,0.067121920759,0.213341132895,0.110971325899,0.060113459861,0.155281956753,0.142119815949,0.101820731759,0.072593793397,0.049203004381
Ciudad de México,NA,0.748623113129,0.238622277355,0.873791828306,0.242926184628,0.293419215088,-0.610124612508,0.618336883258,0.605448914369,0.673091678195,0.253591523337,0.482564031872,0.754588469457,0.527405181255,0.519982354667,0.466939395222,0.040391085941
Durango,NA,0.037737991211,-0.020385095128,0.040352916032,0.016665401243,0.021138549689,-0.018325255853,0.045312054166,0.049097214922,0.04455790286,0.039594057166,0.02503299984,-0.000501196298,0.046882605251,-0.006486964441,0.015653484376,0.010180594664
Guanajuato,NA,0.100315809475,0.028139545026,0.17247415115,0.079551860763,0.100283102819,-0.148232158383,0.260055338159,0.215953342774,0.152992257204,0.153285959849,0.163075445531,0.210149937257,0.117485265447,0.181663875162,0.051417905512,-0.059076383706
Guerrero,NA,0.078380233924,0.020397791778,0.032370774884,0.038324836192,0.023887190356,-0.048917753645,0.078039215576,0.018029311338,0.024471341584,0.004490294445,0.056561030629,0.011959557664,0.027772176564,-0.0005349491,0.03803734862,-0.000409744736
Hidalgo,NA,0.095517959687,-0.011308216784,0.039937571747,0.044869074845,0.050124065659,-0.091782492418,0.078561168573,0.057590393371,0.055310093433,0.053047540454,0.077237810047,0.097280852103,0.06115155991,0.007563357542,0.039689530673,-0.021700494768
Jalisco,NA,0.19333374232,0.17539691707,0.328752077802,0.194740942426,0.038118738943,-0.335035558006,0.403359691583,0.193530125393,0.283265119338,0.150946920416,0.311189273227,0.234192683661,0.266865157258,0.161851344429,0.181536838368,0.053520628104
México,NA,0.202540067019,0.195667734691,0.384523714867,0.243740884747,0.094608410399,-0.412535138793,0.645385689301,0.394599560936,0.38012360285,0.163046012535,0.237413658167,0.26695175699,0.242975651204,0.420776188988,0.295509684775,-0.172308062035
Michoacán de Ocampo,NA,0.052179959628,0.038348578312,0.108071108584,0.056137740102,0.044798064002,-0.122579812112,0.093520709711,0.094119473928,0.058852128956,0.048186142206,0.129066967068,0.039726503506,0.096949261607,0.075045295112,0.054838381685,0.003470672936
Morelos,NA,0.013369113318,0.088459678987,-0.0232373811,0.008237171705,0.002435342324,-0.009193788628,0.048621432085,-0.002134688177,0.006989534932,0.041528799857,0.022606858926,0.0112648984,0.041857216395,0.051973501255,-0.011091004872,-0.001316030268
Nayarit,NA,0.085788166164,0.025978900182,0.014203547376,-0.003520260506,0.046424852611,-0.036481856493,0.034784926244,0.020331274666,0.000645733486,0.018321835074,0.034260712426,0.031594057073,0.032632300225,0.008990822767,-0.002078049404,0.001726486818
Nuevo León,NA,0.365894109725,0.272761368522,0.459997066013,0.414880575066,0.11035312705,-0.469639193376,0.530887867489,0.310944566333,0.295819438612,0.072465377614,0.231219427214,0.41646347726,0.178329034012,0.287946598707,0.26902138992,0.115375174901
Oaxaca,NA,0.062052637534,0.022374492285,0.032562545437,0.012861522105,0.047833604263,-0.014740803142,0.026218461244,0.047843522218,0.03175852108,0.037818727422,0.030193983154,0.064565252549,-0.024322742127,-0.035693808576,0.058983897572,-0.045865915121
Puebla,NA,0.079628961425,0.170652707124,0.142512026993,0.133635820672,0.022103594731,-0.252665485974,0.27394245012,0.162937090101,0.207537349588,-0.032204817631,0.04439239763,0.089645344837,0.088694090233,0.19885814779,0.085190867924,-0.042512663174
Querétaro,NA,0.125889239748,0.117954823126,0.113405726782,0.094561891627,0.047187701347,-0.055801866363,0.125227769859,0.149536370284,0.063385808852,0.010986694457,0.144967570836,0.122936845874,0.093664066996,0.101056341266,0.067138199625,-0.020242836202
Quintana Roo,NA,0.10119016317,0.051645288085,0.080035065915,0.133081252645,0.070953203509,-0.1204410757,0.069436563574,0.075980466655,0.064910957428,0.061971360475,0.051012567464,0.067399145177,0.105046550436,0.063089040236,0.082642138213,0.021118728424
San Luis Potosí,NA,0.104977208457,0.074907342827,0.085475694712,0.040672090464,0.040046219317,-0.098439794388,0.099287191676,0.100920580049,0.090161329561,0.068709177233,0.056383605106,0.078688559425,0.076635310254,0.074269534125,0.087496842513,-0.00644099179
Sinaloa,NA,0.130674620494,0.008044426965,0.069249367699,0.076595707896,0.075472924422,-0.092444962822,0.070256108689,0.042554030809,0.07682781168,0.025312176094,0.038232406466,0.116824999502,0.106095936168,0.026787831722,0.057169209404,0.045818319652
Sonora,NA,0.150891307658,0.15629007647,0.185379462005,0.041432739958,0.009259176498,-0.182901917324,0.154797782009,0.278756515648,0.164131445539,0.093251571345,0.080429462117,0.166238947552,0.176957743046,-0.017423272391,0.031317949831,-0.005272064006
Tabasco,NA,0.130197373116,0.228621700525,0.18152823552,0.062947781497,0.148190164771,0.144009459797,0.212973278729,0.172369867459,0.095811205143,-0.067238746865,0.071382115738,-0.0160696312,-0.166030058564,-0.148959570464,-0.243291279978,-0.108103722671
Tamaulipas,NA,0.147608502116,0.202121425499,0.098280883613,0.103353494976,0.135696787442,-0.30279855558,0.062100332094,0.059595737332,0.064553094239,0.044521303414,0.029725890209,0.091463861863,0.047475117162,-0.012298635726,0.058410925314,0.052415627956
Tlaxcala,NA,0.052038293484,-0.080535613499,-0.010408854883,0.008108591512,0.029655390324,-0.010465079985,0.051802994201,-0.019356671161,0.026128765428,-0.014652051687,0.017291694277,0.037941383799,0.002418945635,-0.007504408799,0.019021397941,0.027915587444
Veracruz de Ignacio de la Llave,NA,0.24101470307,0.03867158046,0.267094042988,0.151106382423,-0.009081702272,-0.106456252839,0.213701539401,0.199751816251,0.221250020274,0.010542691909,-0.003656165053,0.030874004395,-0.004920698783,-0.052155016984,0.103554462899,0.0422967238
Yucatán,NA,0.05874025186,0.060486730552,0.064092742423,0.04130582507,0.013620631203,-0.026336381992,0.04970875662,0.046987742039,0.07936885207,0.007048399502,0.051593218281,0.040553270765,0.073167726802,0.058211622034,0.051314384465,0.017834098693
Zacatecas,NA,0.033906675254,-0.000024856929,0.048299830195,0.027468707128,0.073299408845,0.028664116945,0.104176364135,0.00101952282,0.025892757899,-0.012117509599,0.063606154854,0.019274734473,-0.011504043832,-0.002219484077,0.000058327243,-0.03321531614
Valores corrientes,,,,,,,,,,,,,,,,,
Millones de pesos,,,,,,,,,,,,,,,,,
a  B.1bP - Producto interno bruto,7868809.553,8828367.434,9562648.113,10630939.426,11504075.512,12353845.281,12162762.846,13366377.171,14665576.472,15817754.584,16277187.078,17484305.607,18572109.415,20129057.371,21934167.572,23524390.183,24453867.508
"D.21-D.31 - Impuestos sobre los productos, netos",393207.946,390348.759,395675.286,400003.887,436902.593,316395.983,503852.225,542155.977,504828.626,482814.885,634567.233,904345.102,1073095.155,1258366.98,1212103.876,1303200.223,1430777.189
a  B.1bV - Valor agregado bruto,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,7475601.618,8438018.666,9166972.831,10230935.507999996,11067172.904000001,12037449.287999999,11658910.607,12824221.201000001,14160747.844000002,15334939.688999997,15642619.842000002,16579960.489999998,17499014.236,18870690.392000005,20722063.709000003,22221189.96,23023090.307000007
Aguascalientes,77267.87,86539.58300000001,93441.677,105137.20699999998,119896.797,126346.473,126299.281,138350.48,150419.495,166978.119,172820.491,195180.36500000002,215416.925,248849.972,273130.458,297757.431,305715.191
Baja California,270791.49,303478.894,323708.54099999997,360815.26100000006,379005.635,395576.586,369919.30499999993,393693.17499999993,418394.022,456744.955,465524.69499999995,501905.00700000004,580277.4240000001,647659.7309999999,711157.088,763347.754,807100.646
Baja California Sur,48522.955,56078.576,63553.291999999994,70927.389,84264.177,92207.46800000001,96174.40899999999,100789.574,109045.,114898.75099999999,115027.644,119613.08399999999,142277.939,155809.224,187174.715,232407.72600000002,217470.218
Campeche,328291.059,449778.397,536654.993,609382.952,657079.799,740140.02,542318.291,620535.423,780750.7100000001,779041.23,721085.0629999998,696682.543,436081.49399999995,412424.333,488348.95,550190.7069999999,624230.774
Coahuila de Zaragoza,255441.59900000005,285330.206,302737.814,336941.50899999996,369675.95,401229.645,361353.645,433984.977,493392.7590000001,543684.552,538206.987,579802.0900000001,627666.568,684776.1439999999,773322.316,825317.017,850052.69
Colima,43028.600000000006,45411.350000000006,48371.748999999996,53738.132,60492.715,65592.169,65811.81599999999,72901.369,81585.711,87516.444,91422.446,96603.958,101924.98000000001,110204.72499999998,123212.159,133648.25499999998,147306.679
Chiapas,149658.13199999998,157105.24099999998,167597.572,185859.755,198100.75100000002,219146.59900000002,217703.311,240499.032,261927.50300000003,281695.95399999997,280925.273,300375.744,302308.11400000006,318560.217,324362.543,327140.548,332068.34900000005
Chihuahua,234231.93699999998,260457.239,280959.109,318850.35699999996,347744.208,369944.074,353730.60299999994,382215.08999999997,407232.99799999996,463972.50899999996,476290.197,510950.82499999995,587826.5989999999,656275.6600000001,718074.96,762477.0560000001,797040.8700000001
Ciudad de México,1379467.784,1519472.5409999995,1647432.799,1804728.0489999996,1925779.6479999998,2052359.403,2084223.8530000001,2229200.756,2397052.399,2563863.36,2673066.3310000002,2798138.0540000005,2968856.863,3163657.8529999997,3389843.349,3607241.587,3694132.866
Durango,92395.954,101305.37400000001,104893.62299999999,113919.846,122456.294,133623.021,138318.42,146770.242,165643.398,180059.762,189052.81199999998,199491.87200000003,210218.376,233458.628,248296.72999999995,259913.683,275077.34099999996
Guanajuato,272618.07700000005,301103.7370000001,312731.70900000003,360437.27599999995,379998.591,419537.05299999996,412105.01599999995,459867.97900000005,515124.1809999999,565796.7660000001,594575.5319999999,649953.073,721923.1810000001,783268.338,895011.5700000001,961087.7170000002,969371.3200000001
Guerrero,115494.11400000002,128340.89000000001,136625.414,145524.00999999998,158826.221,167978.877,171107.678,186370.37999999998,198139.14299999998,212366.44100000005,218811.37799999997,234183.85299999997,247813.828,265235.738,283714.126,303006.145,315710.001
Hidalgo,102868.192,124276.052,119899.782,148799.174,155257.261,175038.767,161786.625,184470.154,203655.511,231618.44,230982.76700000005,256398.84399999995,289377.79099999997,300101.36,346733.03300000005,382693.3239999999,381848.8080000001
Jalisco,512955.26599999995,554058.119,596725.421,655681.341,705499.372,750814.0229999998,743570.7359999999,821289.8389999999,885831.3200000001,970346.1449999999,1018578.6070000002,1107264.088,1204768.34,1340583.3309999998,1458866.8820000002,1570721.5950000002,1646575.2189999998
México,650414.9339999999,708799.838,764362.206,837804.879,909155.345,981146.4310000002,975921.4329999998,1085724.153,1190034.6390000004,1300309.612,1365154.2290000003,1451590.566,1569746.485,1696120.2750000004,1870894.3369999998,2011335.9359999998,2030550.9889999996
Michoacán de Ocampo,169880.527,187708.532,202877.76200000002,224728.021,245625.96399999998,270330.443,268656.308,290183.885,328272.431,348282.35199999996,359465.98699999996,391994.837,408481.804,456455.94600000005,515406.35500000004,547732.6640000001,571327.1240000001
Morelos,103912.141,111172.35600000001,124410.41399999999,127253.829,134376.326,140312.17200000002,144051.976,156265.66199999998,163560.71199999997,171825.31,182126.14299999998,189051.143,199165.66,219509.80099999998,244769.11200000002,250126.49300000002,254814.857
Nayarit,47348.157,57282.23900000001,62730.26299999999,67060.707,70481.637,81399.73700000001,79868.87700000001,88014.112,95444.01800000001,99032.58099999998,103627.459,112501.79099999998,123019.281,136301.611,148598.783,155433.89299999998,163094.11200000002
Nuevo León,518414.3969999999,593341.6429999999,648235.094,734544.2800000001,813097.654,873801.7069999999,851460.085,943374.1120000001,1018557.2330000001,1108967.1739999999,1124999.8930000002,1207990.9970000002,1337539.4630000002,1439538.5359999998,1600954.5929999999,1744343.4279999998,1841584.449
Oaxaca,125575.37200000002,142950.124,140574.391,170626.62800000003,173610.814,192561.53399999999,190446.28,208793.741,226500.46700000003,248833.702,245515.97600000002,265613.706,290365.7250000001,284220.42400000006,313559.841,353621.995,348949.17000000004
Puebla,244703.25699999998,265601.902,296863.073,324953.26,355837.97200000007,385126.95700000005,373642.294,416421.454,462331.627,515088.62299999996,519256.5349999999,540792.718,580298.1599999999,628165.6000000001,699067.172,743460.6569999999,763253.882
Querétaro,129222.79100000003,147980.63999999998,168791.83500000002,188519.439,207403.04400000002,228284.80299999999,233711.419,256123.884,288201.125,311704.961,319989.72800000006,348716.588,388211.11199999996,432120.25,480686.81,518493.752,534132.521
Quintana Roo,100756.51499999998,114922.81400000001,123869.97300000001,138303.36200000002,158761.482,175082.24200000003,167709.174,180777.622,194651.85100000002,213551.94400000002,225272.667,246516.89,265832.86699999997,302288.848,329215.0299999999,359421.87399999995,372603.638
San Luis Potosí,135417.186,155113.84499999997,171877.096,193076.79700000002,208802.945,225361.594,223032.482,244786.34000000003,271023.72000000003,297155.564,307896.47,330242.33900000004,364656.92499999993,400396.41500000004,455231.044,500784.395,520547.52
Sinaloa,160242.733,185355.029,193845.41199999998,208519.559,232728.36299999995,260205.206,261437.516,277104.769,299879.733,325175.665,334097.30700000003,344506.492,379608.572,423219.311,454152.219,483442.664,517070.6989999999
Sonora,215321.97099999996,244591.949,274112.423,315218.31299999997,339339.33800000005,360308.272,354073.917,385750.8350000001,446699.10899999994,488557.57499999995,510315.674,535720.341,588735.277,663322.554,724400.1780000001,762906.1799999999,781789.505
Tabasco,174628.451,219781.987,260510.67200000002,306835.949,341289.31299999997,414905.27100000007,379235.26800000004,449415.17100000003,559158.1939999999,592703.4380000001,553628.2049999998,575966.4010000001,467499.1020000001,454246.59899999993,494910.40299999993,496651.43999999994,521250.11399999994
Tamaulipas,259340.87100000004,292431.745,325281.018,359094.8670000001,383429.085,429771.34699999995,387891.004,406896.61600000004,429862.782,462474.737,473241.40099999995,498626.18200000003,543674.072,578652.506,628044.541,670038.206,710399.3910000001
Tlaxcala,49095.693999999996,57789.546,54034.75,56021.511999999995,59806.397000000004,67699.514,69236.59,78454.86599999998,80052.24900000001,88109.73899999999,87657.644,93828.437,104631.193,109834.483,115780.84599999999,126199.82500000001,135903.114
Veracruz de Ignacio de la Llave,349344.701,402187.892,425100.61199999996,490348.098,532290.028,580223.9990000001,578093.725,639238.481,701765.663,777750.647,781357.2760000001,810516.4919999999,833456.6159999999,862619.629,918323.975,982970.96,1038352.3019999999
Yucatán,100397.54000000001,110902.20799999998,123611.22999999998,135527.402,147321.32799999998,159011.74599999998,164626.31999999998,175773.5,188610.929,209189.067,215788.237,232467.74399999995,247730.173,275534.82800000004,304912.753,330550.687,348247.08699999994
Zacatecas,58551.350999999995,67368.17800000001,70551.11200000001,81756.348,89738.45000000001,102382.13500000001,111392.95000000001,130183.52800000002,147947.212,157643.57,146858.788,156773.42599999998,169623.32700000002,187277.522,201906.83800000002,206724.366,205518.86100000003
Participación porcentual,,,,,,,,,,,,,,,,,
a  B.1bP - Producto interno bruto,,,,,,,,,,,,,,,,,
"D.21-D.31 - Impuestos sobre los productos, netos",,,,,,,,,,,,,,,,,
a  B.1bV - Valor agregado bruto,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.,100.
Aguascalientes,1.033600691267,1.025591272377,1.019329703738,1.027640208638,1.083355234801,1.049611674177,1.083285439415,1.078821690858,1.062228468843,1.088873659671,1.104805286746,1.177206454248,1.231023199906,1.318711540652,1.318065911946,1.33997068355,1.327863405492
Baja California,3.622337088536,3.596565805464,3.531247959035,3.526708390624,3.424593058115,3.28621601251,3.172846224397,3.069918779702,2.954603998385,2.978459415316,2.976002100045,3.027178546672,3.316057785736,3.432093461056,3.431883513084,3.43522446536,3.505613865201
Baja California Sur,0.649084280831,0.6645941212,0.693285484441,0.693263963442,0.761388456934,0.76600503806,0.824900475198,0.785931343668,0.770051138551,0.74926118609,0.73534769215,0.721431658852,0.813062593591,0.825667851909,0.903262906767,1.045883350164,0.944574403784
Campeche,4.391500186547,5.33037926086,5.854222575911,5.956277913427,5.937196470135,6.148644968647,4.651534858449,4.838776665453,5.51348501224,5.080171463334,4.609746131296,4.201955387169,2.492034626173,2.185528586569,2.356661753665,2.475973194912,2.711324872883
Coahuila de Zaragoza,3.4170039022,3.381483465422,3.302484032419,3.293359720003,3.340292531857,3.33317827889,3.099377439115,3.384103956084,3.484228124358,3.545397393313,3.440644805258,3.497005257339,3.586868148885,3.628781617287,3.731878865251,3.714099103089,3.692174589358
Colima,0.575587119255,0.538175510123,0.527674183089,0.525251400109,0.546595915007,0.544900895785,0.564476546895,0.568466247247,0.576139847265,0.570699629571,0.58444459383,0.582654934903,0.58246126682,0.58399943357,0.594594055545,0.601445085707,0.639821488062
Chiapas,2.00195435294,1.861873589271,1.828276085135,1.81664477168,1.789985145424,1.820540163924,1.86726975048,1.875349997716,1.849672813085,1.8369550824,1.795896568717,1.811679492126,1.727572250202,1.688121687032,1.565300384918,1.47220085238,1.442327439853
Chihuahua,3.133285439342,3.086710865543,3.064906094735,3.116531784905,3.142123205415,3.073276282616,3.033993611613,2.980415605824,2.875787370033,3.025590699472,3.044823704794,3.081737289472,3.359198358675,3.477751191754,3.465267601161,3.431306142347,3.461919574531
Ciudad de México,18.452933348916,18.00745650306,17.971393930926,17.639912279662,17.400827335985,17.049786494602,17.876660378103,17.382737875936,16.927442147878,16.719096468564,17.0883544956,16.876626791045,16.965852035781,16.764929036943,16.358618507324,16.233341209419,16.045338904295
Durango,1.235966798679,1.200582482807,1.144255851237,1.113484157054,1.106482161815,1.110060925725,1.18637516542,1.144476843464,1.16973623021,1.174179785847,1.208575123026,1.20321078039,1.201315532206,1.237149373713,1.198223948574,1.169665906587,1.194788958962
Guanajuato,3.646771068479,3.568417526892,3.411504700248,3.523013860445,3.433565141669,3.485265382744,3.534678580969,3.585932991893,3.637690513769,3.689592378416,3.800997134787,3.920112315057,4.125507707256,4.150713735053,4.319123725169,4.325095634977,4.210430950294
